animal_id,dose_group,event,feature,window,baseline_mean,window_mean,pct_change
9257,Vehicle,Rep1_Dose1,distance_nearest_other.social.animal.cm,immediate,9.526858562005168,15.969217044020956,67.62311458794062
9257,Vehicle,Rep1_Dose1,distance_nearest_other.social.animal.cm,peak_early,9.526858562005168,7.790270808219123,-18.228335631137327
9257,Vehicle,Rep1_Dose1,distance_nearest_other.social.animal.cm,peak_sustained,9.526858562005168,6.570870128737386,-31.0279449834261
9257,Vehicle,Rep1_Dose1,distance_nearest_other.social.animal.cm,decline_early,9.526858562005168,5.442875105514518,-42.86810211267662
9257,Vehicle,Rep1_Dose1,distance_nearest_other.social.animal.cm,decline_late,9.526858562005168,5.281237672202287,-44.56475198167825
9257,Vehicle,Rep1_Dose1,distance_nearest_other.social.animal.cm,post_6hr,9.526858562005168,4.437645889775195,-53.41963081646528
9257,Vehicle,Rep1_Dose1,distance_nearest_other.social.animal.cm,post_12hr,9.526858562005168,11.779049700854303,23.640438494922968
9257,Vehicle,Rep1_Dose1,distance_nearest_other.social.animal.cm,next_day,9.526858562005168,7.298733913106959,-23.38782122560707
9258,Vehicle,Rep1_Dose1,distance_nearest_other.social.animal.cm,immediate,13.753576726352291,5.308242583391052,-61.40463903313027
9258,Vehicle,Rep1_Dose1,distance_nearest_other.social.animal.cm,peak_early,13.753576726352291,10.986013224776038,-20.122500180433164
9258,Vehicle,Rep1_Dose1,distance_nearest_other.social.animal.cm,peak_sustained,13.753576726352291,5.576123755462723,-59.456918978910466
9258,Vehicle,Rep1_Dose1,distance_nearest_other.social.animal.cm,decline_early,13.753576726352291,5.478836252812661,-60.16428044993535
9258,Vehicle,Rep1_Dose1,distance_nearest_other.social.animal.cm,decline_late,13.753576726352291,3.7851489116912096,-72.47880324513154
9258,Vehicle,Rep1_Dose1,distance_nearest_other.social.animal.cm,post_6hr,13.753576726352291,4.933752208324317,-64.1274971122887
9258,Vehicle,Rep1_Dose1,distance_nearest_other.social.animal.cm,post_12hr,13.753576726352291,11.710570290092049,-14.85436462753559
9258,Vehicle,Rep1_Dose1,distance_nearest_other.social.animal.cm,next_day,13.753576726352291,6.667090351244764,-51.52467984222311
9259,Vehicle,Rep1_Dose1,distance_nearest_other.social.animal.cm,immediate,8.823605107669232,7.478114779408147,-15.248759569845468
9259,Vehicle,Rep1_Dose1,distance_nearest_other.social.animal.cm,peak_early,8.823605107669232,6.91189713852818,-21.665837781877265
9259,Vehicle,Rep1_Dose1,distance_nearest_other.social.animal.cm,peak_sustained,8.823605107669232,4.526675428776065,-48.69811858600058
9259,Vehicle,Rep1_Dose1,distance_nearest_other.social.animal.cm,decline_early,8.823605107669232,4.537090825974822,-48.58007843039906
9259,Vehicle,Rep1_Dose1,distance_nearest_other.social.animal.cm,decline_late,8.823605107669232,5.731516123680084,-35.0433745193514
9259,Vehicle,Rep1_Dose1,distance_nearest_other.social.animal.cm,post_6hr,8.823605107669232,5.949214974077364,-32.57614204758017
9259,Vehicle,Rep1_Dose1,distance_nearest_other.social.animal.cm,post_12hr,8.823605107669232,11.820654840298308,33.96627224425676
9259,Vehicle,Rep1_Dose1,distance_nearest_other.social.animal.cm,next_day,8.823605107669232,6.832054968579017,-22.570707945205015
9260,Vehicle,Rep1_Dose1,distance_nearest_other.social.animal.cm,immediate,6.279453913935554,11.099644906117067,76.76130851895257
9260,Vehicle,Rep1_Dose1,distance_nearest_other.social.animal.cm,peak_early,6.279453913935554,9.01303938973561,43.53221654726377
9260,Vehicle,Rep1_Dose1,distance_nearest_other.social.animal.cm,peak_sustained,6.279453913935554,3.8862460817327427,-38.111719028492786
