animal_id,dose_group,event,feature,window,pct_change
9250,5 mg/kg,Rep2_Dose1,animal_bouts.active,immediate,-17.520085698982314
9250,5 mg/kg,Rep2_Dose1,animal_bouts.active,peak_early,25.06695232994109
9250,5 mg/kg,Rep2_Dose1,animal_bouts.active,peak_sustained,18.716300660596353
9250,5 mg/kg,Rep2_Dose1,animal_bouts.active,decline_early,36.86082842349583
9250,5 mg/kg,Rep2_Dose1,animal_bouts.active,decline_late,-1.5876629173361794
9250,5 mg/kg,Rep2_Dose1,animal_bouts.active,post_6hr,34.09569719692916
9250,5 mg/kg,Rep2_Dose1,animal_bouts.active,post_12hr,-2.1758019401297077
9250,5 mg/kg,Rep2_Dose1,animal_bouts.active,next_day,6.391715765041973
9250,5 mg/kg,Rep2_Dose2,animal_bouts.active,immediate,14.834578441835648
9250,5 mg/kg,Rep2_Dose2,animal_bouts.active,peak_early,5.3148345784418485
9250,5 mg/kg,Rep2_Dose2,animal_bouts.active,peak_sustained,13.952330131625779
9250,5 mg/kg,Rep2_Dose2,animal_bouts.active,decline_early,0.7257203842049375
9250,5 mg/kg,Rep2_Dose2,animal_bouts.active,decline_late,-44.77868422480689
9250,5 mg/kg,Rep2_Dose2,animal_bouts.active,post_6hr,-46.239772323016716
9250,5 mg/kg,Rep2_Dose2,animal_bouts.active,post_12hr,6.2397723230167355
9250,5 mg/kg,Rep2_Dose2,animal_bouts.active,next_day,-14.831001114933542
9251,5 mg/kg,Rep2_Dose1,animal_bouts.active,immediate,-36.35807617458994
9251,5 mg/kg,Rep2_Dose1,animal_bouts.active,peak_early,31.887684181262177
9251,5 mg/kg,Rep2_Dose1,animal_bouts.active,peak_sustained,39.20303957001205
9251,5 mg/kg,Rep2_Dose1,animal_bouts.active,decline_early,39.69511630062089
9251,5 mg/kg,Rep2_Dose1,animal_bouts.active,decline_late,-10.03197108701696
9251,5 mg/kg,Rep2_Dose1,animal_bouts.active,post_6hr,36.542180211905
9251,5 mg/kg,Rep2_Dose1,animal_bouts.active,post_12hr,-1.165477404009491
9251,5 mg/kg,Rep2_Dose1,animal_bouts.active,next_day,22.399530472924983
9251,5 mg/kg,Rep2_Dose2,animal_bouts.active,immediate,4.135696588526799
9251,5 mg/kg,Rep2_Dose2,animal_bouts.active,peak_early,4.059462550028599
9251,5 mg/kg,Rep2_Dose2,animal_bouts.active,peak_sustained,8.049043898100521
9251,5 mg/kg,Rep2_Dose2,animal_bouts.active,decline_early,8.99561654278636
9251,5 mg/kg,Rep2_Dose2,animal_bouts.active,decline_late,-54.27895843629773
9251,5 mg/kg,Rep2_Dose2,animal_bouts.active,post_6hr,-50.09211612985198
9251,5 mg/kg,Rep2_Dose2,animal_bouts.active,post_12hr,1.0482180293501013
9251,5 mg/kg,Rep2_Dose2,animal_bouts.active,next_day,-18.93212721714881
9252,5 mg/kg,Rep2_Dose1,animal_bouts.active,immediate,-45.40793998124412
9252,5 mg/kg,Rep2_Dose1,animal_bouts.active,peak_early,41.231634885901855
9252,5 mg/kg,Rep2_Dose1,animal_bouts.active,peak_sustained,34.92271890521347
9252,5 mg/kg,Rep2_Dose1,animal_bouts.active,decline_early,24.983849119516552
9252,5 mg/kg,Rep2_Dose1,animal_bouts.active,decline_late,-12.609669688444272
9252,5 mg/kg,Rep2_Dose1,animal_bouts.active,post_6hr,31.602931471640478
9252,5 mg/kg,Rep2_Dose1,animal_bouts.active,post_12hr,-1.6769129241776843
9252,5 mg/kg,Rep2_Dose1,animal_bouts.active,next_day,35.78340453613981
9252,5 mg/kg,Rep2_Dose2,animal_bouts.active,immediate,10.165073848827099
9252,5 mg/kg,Rep2_Dose2,animal_bouts.active,peak_early,2.7801911381407303
9252,5 mg/kg,Rep2_Dose2,animal_bouts.active,peak_sustained,14.682884448305789
9252,5 mg/kg,Rep2_Dose2,animal_bouts.active,decline_early,9.035621198957434
9252,5 mg/kg,Rep2_Dose2,animal_bouts.active,decline_late,-63.222842333122266
9252,5 mg/kg,Rep2_Dose2,animal_bouts.active,post_6hr,-60.425716768027804
9252,5 mg/kg,Rep2_Dose2,animal_bouts.active,post_12hr,-2.5195482189400638
9252,5 mg/kg,Rep2_Dose2,animal_bouts.active,next_day,-18.239665289837838
9253,5 mg/kg,Rep2_Dose1,animal_bouts.active,immediate,-1.1339685289447086
9253,5 mg/kg,Rep2_Dose1,animal_bouts.active,peak_early,-19.6364997687751
9253,5 mg/kg,Rep2_Dose1,animal_bouts.active,peak_sustained,-7.146672441172219
9253,5 mg/kg,Rep2_Dose1,animal_bouts.active,decline_early,4.749891728020781
9253,5 mg/kg,Rep2_Dose1,animal_bouts.active,decline_late,3.354085462682256
9253,5 mg/kg,Rep2_Dose1,animal_bouts.active,post_6hr,-15.035167222745105
9253,5 mg/kg,Rep2_Dose1,animal_bouts.active,post_12hr,-5.099489918675737
9253,5 mg/kg,Rep2_Dose1,animal_bouts.active,next_day,7.398344641740024
9253,5 mg/kg,Rep2_Dose2,animal_bouts.active,immediate,-30.66481030281934
9253,5 mg/kg,Rep2_Dose2,animal_bouts.active,peak_early,-38.322311172989906
9253,5 mg/kg,Rep2_Dose2,animal_bouts.active,peak_sustained,-28.924469195962388
9253,5 mg/kg,Rep2_Dose2,animal_bouts.active,decline_early,-5.7083188304907795
9253,5 mg/kg,Rep2_Dose2,animal_bouts.active,decline_late,-33.27532196310475
9253,5 mg/kg,Rep2_Dose2,animal_bouts.active,post_6hr,-29.806242023436592
9253,5 mg/kg,Rep2_Dose2,animal_bouts.active,post_12hr,-11.103376261747288
9253,5 mg/kg,Rep2_Dose2,animal_bouts.active,next_day,-15.117763081563965
9254,5 mg/kg,Rep2_Dose1,animal_bouts.active,immediate,-45.53717232488181
9254,5 mg/kg,Rep2_Dose1,animal_bouts.active,peak_early,-10.767118498393955
9254,5 mg/kg,Rep2_Dose1,animal_bouts.active,peak_sustained,-26.786277037673678
9254,5 mg/kg,Rep2_Dose1,animal_bouts.active,decline_early,3.5134651196103683
9254,5 mg/kg,Rep2_Dose1,animal_bouts.active,decline_late,-10.208780976937419
9254,5 mg/kg,Rep2_Dose1,animal_bouts.active,post_6hr,-20.16346844067578
9254,5 mg/kg,Rep2_Dose1,animal_bouts.active,post_12hr,-12.268538413789816
9254,5 mg/kg,Rep2_Dose1,animal_bouts.active,next_day,22.093897722389332
9254,5 mg/kg,Rep2_Dose2,animal_bouts.active,immediate,-51.47518222839291
9254,5 mg/kg,Rep2_Dose2,animal_bouts.active,peak_early,-18.98646303366888
9254,5 mg/kg,Rep2_Dose2,animal_bouts.active,peak_sustained,-25.673955802383432
9254,5 mg/kg,Rep2_Dose2,animal_bouts.active,decline_early,-2.065255119750091
9254,5 mg/kg,Rep2_Dose2,animal_bouts.active,decline_late,-42.76292953835474
9254,5 mg/kg,Rep2_Dose2,animal_bouts.active,post_6hr,-41.18940182806895
9254,5 mg/kg,Rep2_Dose2,animal_bouts.active,post_12hr,-5.958579197038063
9254,5 mg/kg,Rep2_Dose2,animal_bouts.active,next_day,-11.234525049172731
9255,5 mg/kg,Rep2_Dose1,animal_bouts.active,immediate,17.23174739248465
9255,5 mg/kg,Rep2_Dose1,animal_bouts.active,peak_early,15.803831540098948
9255,5 mg/kg,Rep2_Dose1,animal_bouts.active,peak_sustained,0.08763156641424141
9255,5 mg/kg,Rep2_Dose1,animal_bouts.active,decline_early,15.722781825975135
9255,5 mg/kg,Rep2_Dose1,animal_bouts.active,decline_late,6.690241463066146
9255,5 mg/kg,Rep2_Dose1,animal_bouts.active,post_6hr,-22.292250848285583
9255,5 mg/kg,Rep2_Dose1,animal_bouts.active,post_12hr,-7.025051197790148
9255,5 mg/kg,Rep2_Dose1,animal_bouts.active,next_day,12.201862170786287
9255,5 mg/kg,Rep2_Dose2,animal_bouts.active,immediate,-46.591594610898845
9255,5 mg/kg,Rep2_Dose2,animal_bouts.active,peak_early,2.1114015684697294
9255,5 mg/kg,Rep2_Dose2,animal_bouts.active,peak_sustained,4.189288826328849
9255,5 mg/kg,Rep2_Dose2,animal_bouts.active,decline_early,6.193444600844565
9255,5 mg/kg,Rep2_Dose2,animal_bouts.active,decline_late,-13.935250351900239
9255,5 mg/kg,Rep2_Dose2,animal_bouts.active,post_6hr,-6.709564984248267
9255,5 mg/kg,Rep2_Dose2,animal_bouts.active,post_12hr,3.800522823245542
9255,5 mg/kg,Rep2_Dose2,animal_bouts.active,next_day,2.0711843957369984
9256,5 mg/kg,Rep2_Dose1,animal_bouts.active,immediate,-42.29140573746047
9256,5 mg/kg,Rep2_Dose1,animal_bouts.active,peak_early,96.77938808373592
9256,5 mg/kg,Rep2_Dose1,animal_bouts.active,peak_sustained,121.54470090057853
9256,5 mg/kg,Rep2_Dose1,animal_bouts.active,decline_early,167.1837538021113
9256,5 mg/kg,Rep2_Dose1,animal_bouts.active,decline_late,144.1179101807121
9256,5 mg/kg,Rep2_Dose1,animal_bouts.active,post_6hr,110.57464232915615
9256,5 mg/kg,Rep2_Dose1,animal_bouts.active,post_12hr,156.97918530446714
9256,5 mg/kg,Rep2_Dose1,animal_bouts.active,next_day,119.88083136168308
9256,5 mg/kg,Rep2_Dose2,animal_bouts.active,immediate,17.701965524892355
9256,5 mg/kg,Rep2_Dose2,animal_bouts.active,peak_early,-2.9065897492788575
9256,5 mg/kg,Rep2_Dose2,animal_bouts.active,peak_sustained,24.28074846535021
9256,5 mg/kg,Rep2_Dose2,animal_bouts.active,decline_early,17.83891723984913
9256,5 mg/kg,Rep2_Dose2,animal_bouts.active,decline_late,-26.171341754634014
9256,5 mg/kg,Rep2_Dose2,animal_bouts.active,post_6hr,-25.08622950158339
9256,5 mg/kg,Rep2_Dose2,animal_bouts.active,post_12hr,1.664078100732224
9256,5 mg/kg,Rep2_Dose2,animal_bouts.active,next_day,-12.373345166777613
9257,Vehicle,Rep1_Dose1,animal_bouts.active,immediate,26.366843033509735
9257,Vehicle,Rep1_Dose1,animal_bouts.active,peak_early,14.518877230741642
9257,Vehicle,Rep1_Dose1,animal_bouts.active,peak_sustained,-42.73956496178719
9257,Vehicle,Rep1_Dose1,animal_bouts.active,decline_early,-50.30864197530863
9257,Vehicle,Rep1_Dose1,animal_bouts.active,decline_late,-29.453262786596124
9257,Vehicle,Rep1_Dose1,animal_bouts.active,post_6hr,-26.502320357068953
9257,Vehicle,Rep1_Dose1,animal_bouts.active,post_12hr,-8.50970017636685
9257,Vehicle,Rep1_Dose1,animal_bouts.active,next_day,-15.95327269484573
9257,Vehicle,Rep1_Dose2,animal_bouts.active,immediate,-22.073621194752242
9257,Vehicle,Rep1_Dose2,animal_bouts.active,peak_early,63.410037369740245
9257,Vehicle,Rep1_Dose2,animal_bouts.active,peak_sustained,54.63210631342083
9257,Vehicle,Rep1_Dose2,animal_bouts.active,decline_early,68.9625525410776
9257,Vehicle,Rep1_Dose2,animal_bouts.active,decline_late,68.42526081888619
9257,Vehicle,Rep1_Dose2,animal_bouts.active,post_6hr,41.60100588545463
9257,Vehicle,Rep1_Dose2,animal_bouts.active,post_12hr,16.227947774490932
9257,Vehicle,Rep1_Dose2,animal_bouts.active,next_day,23.60628721103744
9258,Vehicle,Rep1_Dose1,animal_bouts.active,immediate,-17.880794701986773
9258,Vehicle,Rep1_Dose1,animal_bouts.active,peak_early,-1.3778201818385971
9258,Vehicle,Rep1_Dose1,animal_bouts.active,peak_sustained,-40.921633554083876
9258,Vehicle,Rep1_Dose1,animal_bouts.active,decline_early,-41.41142384105961
9258,Vehicle,Rep1_Dose1,animal_bouts.active,decline_late,-54.449503311258276
9258,Vehicle,Rep1_Dose1,animal_bouts.active,post_6hr,-39.592659735839284
9258,Vehicle,Rep1_Dose1,animal_bouts.active,post_12hr,-11.34105960264901
9258,Vehicle,Rep1_Dose1,animal_bouts.active,next_day,-13.804970607932141
9258,Vehicle,Rep1_Dose2,animal_bouts.active,immediate,-38.47736625514403
9258,Vehicle,Rep1_Dose2,animal_bouts.active,peak_early,194.99156850436344
9258,Vehicle,Rep1_Dose2,animal_bouts.active,peak_sustained,188.12636165577342
9258,Vehicle,Rep1_Dose2,animal_bouts.active,decline_early,208.44831759864437
9258,Vehicle,Rep1_Dose2,animal_bouts.active,decline_late,104.29566161976769
9258,Vehicle,Rep1_Dose2,animal_bouts.active,post_6hr,159.735965563548
9258,Vehicle,Rep1_Dose2,animal_bouts.active,post_12hr,142.47468442225
9258,Vehicle,Rep1_Dose2,animal_bouts.active,next_day,137.1076301408211
